Name,Noise,Distance,Busyness,Address,Hours,Picture
Saint Thomas Moore,2,3,1,"268 Park St",12am-12am,stm.jpeg
Bass Library,1,2,1,"110 Wall St",8:30am – 2am,bass.jpeg
Gilmore Music Library,1,2,1,"120 High St",8:30am – 12am,gilmore.jpeg
Steep Café,2,3,1,"219 Prospect St",8 am and 3pm,steep.jpeg
Center for Engineering Innovation and Design (CEID),2,1,1,"15 Prospect St",12am-12am,ceid.jpg
William L. Harkness Hall,1,2,1,"100 Wall St",12am-12am,wlh.jpg
Robert B. Haas Family Arts Library,1,3,1,"180 York St",10 AM–6 PM,haas.jpeg
Lillian Goldman Law Library,1,2,1,"127 Wall St",12am-12am,lawlibrary.jpeg
GoodLife Center,2,1,1,"50 Hillhouse Ave",12am-12am,goodlife.webp
The Underground,4,1,1,"241 Elm St",12am-12am,underground.jpeg
School of Environment,2,2,1,"195 Prospect St",12am-12am,schoolofenvironment.jpeg
Divinity School Library,1,4,1,"409 Prospect St",12am-12am,divinity.jpeg
Graduate New Haven,2,3,1,"1151 Chapel St",12am-12am,graduate.jpeg
Cushing/Whitney Medical Library,2,4,1,"333 Cedar St",12am-12am,cushing.jpeg
Koffee,3,2,1,"104 Audubon St",12am-12am,koffee.jpeg
Fussy Coffee,3,3,1,"290 Winchester Ave",12am-12am,fussy.png
Willoughby's (York Street),3,3,1,"258 Church St",12am-12am,willoughbys.jpeg
Humanities Quadrangle,2,2,1,"320 York St",12am-12am,hq131.jpg
Tsai Center,1,1,1,"254 Prospect St",12am-12am,tsai.jpeg
Digital Humanities Library,2,2,1,"320 York St",12am-12am,digitalhumanitieslab.webp
School of Management,1,3,1,"165 Whitney Ave",12am-12am,school-of-management.jpeg
